[100] - Успешный вход [jQuery] - 127.0.0.1 - [22/Sep/2014 16:18:52 +03:00] Y:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование товара - (id:1) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:09:49 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование товара - (id:1) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:10:23 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Добавление товара - (id:2) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:21:44 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование товара - (id:2) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:31:30 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Редактирование товара - (id:2) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:31:58 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Добавление товара - (id:3) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:35:50 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[101] - Ошибка при удалении товара - (id:3) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:36:11 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Добавление товара - (id:4) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:38:35 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[100] - Удаление товара - (id:4) [jQuery] - 127.0.0.1 - [22/Sep/2014 22:39:13 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
[101] - Ошибка при удалении раздела - (id:<!--error--><br /><b>Notice</b>:  Undefined index: category in <b>Y:\\home\\upcms.up\\www\\admin\\templates_c\\5fb2c3fe24618efeb731f58f64fe299feac5dec7.file.test.tpl.php</b> on line <b>28</b><br /><script language=JavaScript src=\'/denwer/errors/phperror_js.php\'></script><!--error--><br /><b>Notice</b>:  Trying to get property of non-object in <b>Y:\\home\\upcms.up\\www\\admin\\templates_c\\5fb2c3fe24618efeb731f58f64fe299feac5dec7.file.test.tpl.php</b> on line <b>28</b><br /><script language=JavaScript src=\'/denwer/errors/phperror_js.php\'></script>) [jQuery] - 127.0.0.1 - [22/Sep/2014 23:29:59 +03:00] Y:\home\upcms.up\www\admin\includes\catalog.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36
